;name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;firstAuthorFirstname;firstAuthorGender;BDSL_autortitel;BDSL_autor
510;schroeder-der-vetter-in-lissabon;ger000382;Q51451355;Schröder;0;Der Vetter in Lissabon;Ein bürgerliches Familiengemälde in drei Aufzügen;;http://www.textgridrep.org/textgrid:vhgn.0;;;;;1784;11;False;0.7467532467532468;0.6181818181818182;13.818.181.818.181.800;mad_wagner;6.181.818.181.818.180;2;1784;1786.0;10;11;4;7;0;;1;34;;50;0;3;12447;12121;1077;758;0;Friedrich;male;0;55
511;schuetz-die-katze-laesst-das-mausen-nicht;ger000580;Q112686910;Schütz;0;Die Katze läßt das Mausen nicht;Sprüchwort in einem Aufzuge, als Fortsetzung des Bauernguts;Comedy;https://de.wikisource.org/wiki/Die_Katze_läßt_das_Mausen_nicht_(Schütz);;;;;1800;7;False;0.923809523809524;0.6190476190476191;1.380.952.380.952.380;wirth;37.142.857.142.857.100;2;1800;1801.0;6;7;1;6;0;;1;13;;14;0;0;4248;4085;256;240;0;Friedrich;male;0;10
512;seemann-dulk-die-waende;ger000459;Q51459425;Seemann;1;Die Wände;Eine politische Komödie in einem Akte;Comedy;http://www.textgridrep.org/textgrid:mk3n.0;;;;;1848;8;False;0.7821428571428571;0.6428571428571429;13.571.428.571.428.500;hans;04. Mai;2;;1848.0;7;8;0;7;1;;1;18;;9;0;0;5779;5596;406;0;681;Otto;male;0;0
513;sessa-unser-verkehr;ger000503;Q99601642;Sessa;0;Unser Verkehr;Eine Posse in einem Akte;Comedy;https://books.google.com/books?id=h2BVAAAAcAAJ&printsec=frontcover;;;;;1813;16;False;0.7427895021645021;0.4;01. Jun;jakob;6.0;2;1813;1815.0;15;16;3;11;2;;1;48;;23;0;0;7990;7759;852;452;0;Karl;male;4;4
514;seume-miltiades;ger000479;Q79509676;Seume;0;Miltiades;Ein Trauerspiel in fünf Aufzügen;Tragedy;https://www.projekt-gutenberg.org/seume/miltiade/index.html;;;;;1808;14;False;0.7447330447330448;0.5604395604395604;14.615.384.615.384.600;miltiades;7.285.714.285.714.280;3;1868;1808.0;12;14;1;12;1;;1;51;;23;0;5;14658;12141;410;0;1798;Johann;male;2;299
515;sievers-die-schatzgraeber;ger000590;Q113016336;Sievers;0;Die Schatzgräber;Posse in einem Aufzuge. Fortsetzung der beiden Billets;Comedy;https://books.google.com/books?id=dUrPFPLOy_8C&printsec=frontcover;;;;;1807;6;False;1.0;1.0;1.0;several characters;5.0;1;;1807.0;5;6;1;5;0;;1;15;;9;0;0;7709;7426;774;334;0;Georg;male;0;2
516;simrock-doctor-johannes-faust;ger000228;Q55999026;Simrock;0;Doctor Johannes Faust;Puppenspiel in vier Aufzügen;;http://www.textgridrep.org/textgrid:vnmx.0;;;;;1846;22;False;0.7984083875126657;0.354978354978355;17.056.277.056.277.000;faust;7.454.545.454.545.450;3;;1846.0;17;22;5;14;3;;1;82;;19;0;4;11116;10263;958;337;297;Karl;male;0;21
517;soden-doktor-faust;ger000450;Q55803592;Soden;0;Doktor Faust;Volks-Schauspiel in fünf Akten;;http://www.textgridrep.org/textgrid:vnn3.0;;;;;1797;62;False;0.7853715078398322;0.1523003701745108;1.873.611.845.584.340;doktor_faust;9.290.322.580.645.160;3;;1797.0;60;62;5;30;27;;1;288;;65;0;5;21601;21034;1021;1360;0;Julius;male;0;1
518;solbrig-die-dorfschule;ger000526;Q105525766;Solbrig;0;Die Dorfschule;Eine charakteristische Posse in einem Akte;Comedy;https://books.google.com/books?id=q1PDO0ko1mcC&pg=PA51;Schütz;Magdeburg;1819.0;30.0;1812;9;False;1.0;1.0;1.0;several characters;8.0;1;1812;1819.0;8;9;0;9;0;;1;36;;2;0;0;3599;3523;267;182;4;Carl;male;0;0
519;sonnleithner-fidelio;ger000095;Q193778;Sonnleithner;2;Fidelio;Oper in zwei Aufzügen;;http://www.textgridrep.org/textgrid:vpv1.0;;;;;1805;12;True;0.8615079365079366;0.5454545454545454;15.757.575.757.575.700;rocco|pizarro;6.0;3;1805;;9;12;2;9;1;;1;36;;20;43;2;8488;7862;1835;160;664;Joseph;male;0;2
520;sorge-der-bettler;ger000534;Q64733581;Sorge;0;Der Bettler;Eine dramatische Sendung;;http://www.textgridrep.org/textgrid:vpvq.0;;;;;1912;57;False;0.9904660641502748;0.8157894736842105;11.842.105.263.157.800;dichter_sohn_bruder_juengling|das_maedchen;4.568.421.052.631.570;2;1917;1912.0;56;57;18;39;0;;1;1302;;5;1;5;20845;19644;4457;505;713;Reinhard;male;4;10
522;sorge-odysseus;ger000418;Q52882303;Sorge;0;Odysseus;Dramatische Phantasie;;http://www.textgridrep.org/textgrid:vpvx.0;;;;;1911;14;False;1.0;1.0;1.0;several characters;13.0;1;;1925.0;13;14;1;13;0;;1;91;1911;1;0;1;8384;7723;3682;213;82;Reinhard;male;0;10
